time,cloud,temp,humidity,wind_speed,wind_dir,rain,snow
2022-06-19 01:00:00+09:00,5.871524449,23.03,91.12847555,2.394132311,152.1735379,0,0
2022-06-19 02:00:00+09:00,5,20.04682927,92,2.49,133,0,0
2022-06-19 03:00:00+09:00,31.66851441,20.27557095,92,2.340764967,139.9745011,0,0
2022-06-19 04:00:00+09:00,100,20.38038846,93,2.77,142,0,0
2022-06-19 05:00:00+09:00,100,22.03,93,2.557647059,133.8823529,0,0
2022-06-19 06:00:00+09:00,100,22.03,93,2.32,122,0,0
2022-06-19 07:00:00+09:00,100,20.85442044,92.01211802,2.527455216,152.6243414,0,0
2022-06-19 08:00:00+09:00,100,21.12354964,92,3.3,177,0,0
2022-06-19 09:00:00+09:00,100,21.46666852,91,3.63,188,0,0
2022-06-19 10:00:00+09:00,53,21.90269444,89,2.78,204,0,0
2022-06-19 11:00:00+09:00,43,22.12960556,87,2.77,220,0,0
2022-06-19 12:00:00+09:00,36,22.70480556,85,2.87,231,0,0
2022-06-19 13:00:00+09:00,33,22.84398889,84,3.28,248,0,0
2022-06-19 14:00:00+09:00,39,22.68696835,86,3.33,271,0,0
2022-06-19 15:00:00+09:00,44,22.66721111,86,3.71,266,0,0
2022-06-19 16:00:00+09:00,2,22.84593559,83,3.6,278,0,0
2022-06-19 17:00:00+09:00,3,22.70745,84,3.73,281,0,0
2022-06-19 18:00:00+09:00,3,22.52931149,85,3.2,302,0,0
2022-06-19 19:00:00+09:00,4,22.34003333,85,2.3,314,0,0
2022-06-19 20:00:00+09:00,5,21.73581111,87,1.4,316,0,0
2022-06-19 21:00:00+09:00,5,21.59596667,87,1.69,338,0,0
2022-06-19 22:00:00+09:00,22.48243688,21.55693194,88,1.868424808,18.85345774,0,0
2022-06-19 23:00:00+09:00,33,21.31828142,89,1.78,28,0,0
2022-06-20 00:00:00+09:00,30,21.18962243,89,1.54,47,0,0
2022-06-20 01:00:00+09:00,26,21.07023889,88,2.08,31,0,0
2022-06-20 02:00:00+09:00,24,20.81312184,90,1.99,24,0,0
2022-06-20 03:00:00+09:00,29,20.5756822,91,1.36,42,0,0
2022-06-20 04:00:00+09:00,88.02109939,20.61508606,92.97890061,1.424936147,47.95780122,0,0
2022-06-20 05:00:00+09:00,84,20.55571904,93,1.54,40,0,0
2022-06-20 06:00:00+09:00,82,20.64411438,93,1.83,37,0,0
2022-06-20 07:00:00+09:00,80,21.06034444,91,1.84,38,0,0
2022-06-20 08:00:00+09:00,71,21.6052,88,1.7,56,0,0
2022-06-20 09:00:00+09:00,64,22.23843976,86,1.16,50,0,0
2022-06-20 10:00:00+09:00,36.96833333,22.99108333,84.97888889,1.832083333,344.1688889,0,0
2022-06-20 11:00:00+09:00,31,23.43786903,83,1.95,279,0,0
2022-06-20 12:00:00+09:00,30,23.57209482,84,3.28,277,0,0
2022-06-20 13:00:00+09:00,30,23.45873959,84,2.89,274,0,0
2022-06-20 14:00:00+09:00,28,23.92380556,82,3.12,261,0,0
2022-06-20 15:00:00+09:00,25,24.12238466,81,3.57,271,0,0
2022-06-20 16:00:00+09:00,54,22.97396887,87,2.24,264,0,0
2022-06-20 17:00:00+09:00,77,23.19093282,87,1.76,240,0,0
2022-06-20 18:00:00+09:00,82,23.41127403,86,1.18,247,0,0
2022-06-20 19:00:00+09:00,79,23.08934723,87,1.09,352,0,0
2022-06-20 20:00:00+09:00,64.180131,22.50074236,88.97598253,1.900152838,30.90283843,0,0
2022-06-20 21:00:00+09:00,53,22.30863164,89,1.58,90,0,0
2022-06-20 22:00:00+09:00,13,22.23032705,90,1.31,75,0,0
2022-06-20 23:00:00+09:00,7.072364971,22.03987939,90.98793917,1.616261143,102.6622968,0,0
2022-06-21 00:00:00+09:00,4,22.03,92,1.93,69,0,0
2022-06-21 01:00:00+09:00,3.02148847,21.57009958,92,2.703024109,51.38679245,0,0
2022-06-21 02:00:00+09:00,7,21.59307903,93,3.91,29,0,0
2022-06-21 03:00:00+09:00,2.101939058,21.17395568,91.02548476,2.629113573,39.12742382,0,0
2022-06-21 04:00:00+09:00,0,21.05325153,92,3.32,26,0,0
